Name,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description
"Ma Cuisine","Passage Sainte-Hélène, Beaune, 21200, France","Beaune, France","€€","Traditional Cuisine",4.8386238,47.0218626,+33380223022,https://guide.michelin.com/en/bourgogne-franche-comte/beaune/restaurant/ma-cuisine903,https://macuisinebeaune.com/,"Selected Restaurants",0,"Air conditioning,Interesting wine list","Wine takes pride of place in this friendly bistro with an outstanding selection of some 800 different bottles. The chef certainly knows his way around them, and is equally at ease in the kitchen. Diners delight in his homemade jellied ham with parsley, veal chop in jus and crème caramel. The dishes will have you coming back for more."
"Le Bistrot du Bord de l'Eau","Hostellerie de Levernois, 15 rue du Golf, Levernois, 21200, France","Levernois, France","€€","Traditional Cuisine",4.8776647,46.992768,+33380248958,https://guide.michelin.com/en/bourgogne-franche-comte/levernois/restaurant/le-bistrot-du-bord-de-l-eau,https://www.levernois.com/fr/le-bistrot.html,"Selected Restaurants",0,"Air conditioning,Car park,Garden or park,Interesting wine list,Terrace,Wheelchair access","A delightful rustic dining room with exposed stonework, beams and a fireplace serves as the setting for the traditional cuisine and dishes fêting the terroir made with vegetables from the adjoining kitchen garden. Dishes such as snails in a mild garlic broth, grilled trout and lamb navarin can be enjoyed by the fireside or on the riverside terrace. Open every day of the week, this convivial and generous restaurant is a real favourite!"
"L'Aspérule","34 rue du Pont, Auxerre, 89000, France","Auxerre, France","€€","Modern Cuisine",3.574239,47.7944642,+33386332432,https://guide.michelin.com/en/bourgogne-franche-comte/auxerre/restaurant/bistro-l-asperule,https://www.restaurant-asperule.fr/,"Selected Restaurants",0,"Air conditioning","Sited in an old house in historic Auxerre, the dining room sports a minimalist look with a polished concrete floor and beige walls. The Japanese chef crafts cuisine that pairs local produce with the millimetric accuracy of his homeland, depicted by perfectly rare duckling fillet, duxelles of shiitake mushrooms, balsamic sauce. Sensibly priced lunchtime market menu, more ambitious in the evening."
"Le Bistrot de Madeleine","67 place de l'Église, Lucinges, 74380, France","Lucinges, France","€€","Modern Cuisine",6.318321,46.190457,+33450396474,https://guide.michelin.com/en/auvergne-rhone-alpes/lucinges/restaurant/le-bistrot-de-madeleine,http://www.laubergedelucinges.fr,"Selected Restaurants",0,Terrace,"This village inn is a real boon for lovers of the finer (and healthier) things in life. It would not be out of place to talk about programmatic cuisine in this bistro with a slightly rustic feel: whole carcass approach, local market gardening, fish sourced directly from the fish markets, a menu that changes every week… The end result? Tasty, generous and delicious cuisine."
"Hiély-Lucullus","5 rue de la République, Avignon, 84000, France","Avignon, France","€€€€","Modern Cuisine",4.8059356,43.9484867,+33490861707,https://guide.michelin.com/en/provence-alpes-cote-dazur/avignon/restaurant/hiely-lucullus,https://www.hiely-lucullus.com/,"Selected Restaurants",1,"Air conditioning","Chef Gérald Azoulay, a native of Avignon, has created an astonishing culinary amalgam of the cuisines of Peru (where his wife Patricia was born) and Provence, dubbing it ""Pérouvence"". Different Peruvian spices and a commitment to sustainable development guide the chef who takes us on a flavoursome globetrotting journey dominated by acidity, spices and embers: trout in goat’s cheese, aji chaparita and green asparagus; picanha of marinated veal in aji panca spices and Chapa pepper; a Provençal cachaille (cheese) flavoured with a Peruvian species of marigold. The interior is decorated in the Belle Epoque style. The wine list stars tipples from both countries."
"Frenchie Biarritz","Hôtel Regina Experimental, 52 avenue de l'Impératrice, Biarritz, 64200, France","Biarritz, France","€€€","Modern Cuisine",-1.5516043,43.4914249,+33559413320,https://guide.michelin.com/en/nouvelle-aquitaine/biarritz/restaurant/frenchie-biarritz,https://frenchie-biarritz.com/,"Selected Restaurants",0,"Air conditioning,Interesting wine list,Terrace,Wheelchair access","This restaurant ensconced in a hotel looking down over the bay has been entrusted to Grégory Marchand (of Frenchie). Once past the vast atrium that serves as the bar (where you get a foretaste of all the details of the delightful 1920s-inspired decor), you come to a beautiful dining space and a terrace with sea views. The chef has created a menu inspired by the Basque region and added a few creative touches in a ""chic brasserie"" style: smoked aubergine, yuzu condiment, grapefruit and black garlic; meagre meunière, artichoke barigoule, tarragon hollandaise, shellfish bisque with vanilla. Extensive wine list (around 15 wines by the glass)."
"Le Jardin","16 rue de la Redoute, Haguenau, 67500, France","Haguenau, France","€€","Modern Cuisine",7.7916833,48.8107246,+33388932939,https://guide.michelin.com/en/grand-est/haguenau/restaurant/le-jardin3646,https://www.lejardinhaguenau.fr/,"Selected Restaurants",0,"Air conditioning,Car park,Terrace,Wheelchair access","In the family for three decades, this restaurant with its trompe l'œil façade and Renaissance ceiling is virtually an institution. Running the kitchen today is young Romain Meyer, who worked alongside his father for eight years and continues to serve the house classics (fish soup, tuna carpaccio, Chateaubriand with Béarnaise sauce), albeit with a nod to more modern tastes."
"La Fourchette","17 rue Racine, Avignon, 84000, France","Avignon, France","€€","Traditional Cuisine",4.8048699,43.9502603,+33490852093,https://guide.michelin.com/en/provence-alpes-cote-dazur/avignon/restaurant/la-fourchette,https://la-fourchette.eatbu.com/,"Selected Restaurants",0,"Air conditioning","Collections of cutlery, cicadas, photos, greetings cards and knick - knacks: this bistro – with decor that is cluttered yet charming – is often full. Tasty cuisine of southern inspiration."
"Le Rouergat","4 place de la Mairie, Casteculier, 47240, France","Casteculier, France","€€","Modern Cuisine",0.6903872,44.1745381,+33553878045,https://guide.michelin.com/en/nouvelle-aquitaine/casteculier/restaurant/le-rouergat,https://lerouergat.fr,"Selected Restaurants",0,"Air conditioning,Car park,Terrace,Wheelchair access","This contemporary bistro is bistronomic at lunchtime and gastronomic in the evenings. In the hands of a veteran chef from Aveyron, overflowing with contagious enthusiasm, this friendly, invariably-packed eatery focuses on local, seasonal produce, jazzed up with the occasional globetrotting souvenir. We tasted duck foie gras terrine with pineapple and ginger chutney followed by roast guinea fowl, cream of green peas and a samosa of pleurote mushrooms."
"Le Cromesquis","1 rue du Salut, Aurillac, 15000, France","Aurillac, France","€€","Modern Cuisine",2.44591,44.9294,+33471623480,https://guide.michelin.com/en/auvergne-rhone-alpes/aurillac/restaurant/le-cromesquis,https://www.restaurant-cromesquis.fr/,"Selected Restaurants",0,Terrace,"After an impressive career working in Michelin - starred restaurants in Switzerland, the chef has returned home, to his wife's region. In an unusual setting – a former forge that has been refurbished with a lot of wood, concrete and picture windows –, he proposes modern and delicious dishes with, of course, a cromesquis (croquette) featuring every day among the starters."
"Les Quatre Saisons","10 rue Jean-Baptiste-Champeil, Aurillac, 15000, France","Aurillac, France","€€","Modern Cuisine",2.4469405,44.929825,+33471648538,https://guide.michelin.com/en/auvergne-rhone-alpes/aurillac/restaurant/quatre-saisons,https://www.quatresaisons.onlc.fr/,"Selected Restaurants",0,"Air conditioning","The cooking of Didier Guibert, whose restaurant is located in a quiet little street in the city centre, is sincere and nicely done. He only works with fresh produce – and in particular meat supplied by his two brothers, butchers by trade. A well-run place."
"Italie là-bas","23 rue de la Bancasse, Avignon, 84000, France","Avignon, France","€€",Italian,4.8063376,43.9477652,+33486816227,https://guide.michelin.com/en/provence-alpes-cote-dazur/avignon/restaurant/italie-la-bas,https://www.italielabas.fr/,"Selected Restaurants",0,Terrace,"This enthusiastic Italian couple is living proof that Italians do it better. While he pampers guests front of house, she rustles up delicious Italian dishes, some highly creative, to propose tasting menus that include a vegetarian option. Buon appetito!"
"Les Incontournables","3 boulevard Casimir-Pelloutier, Manosque, 04100, France","Manosque, France","€€","Modern Cuisine",5.780964,43.8337645,+33492722469,https://guide.michelin.com/en/provence-alpes-cote-dazur/manosque/restaurant/les-incontournables,https://www.lesincontournables.net/,"Selected Restaurants",0,"Air conditioning","Here, the ""incontournables"" in question are the ingredients: the cooking revolves around produce sourced within a 100km radius of Manosque, which is lovingly prepared by a pleasant chef who prioritises flavour over technique to create no-nonsense Provençal-inspired cuisine: 7hr lamb shoulder, morel mushroom and walnut wine risotto, organic peach confit... Plus service with a smile."
"L'Altévic","4 rue du Wiggensbach, Hattstatt, 68420, France","Hattstatt, France","€€€","Modern Cuisine",7.2973335,48.0072211,+33389788356,https://guide.michelin.com/en/grand-est/hattstatt/restaurant/l-altevic,https://www.restaurant-laltevic.fr/,"Selected Restaurants",0,"Air conditioning,Car park,Terrace,Wheelchair access","In a contemporary glass and metal setting, Jean-Christophe Perrin serves up-to-date dishes, inspired by the market : poultry and morel mushroom pâté en croute ; stone bass with white beans from Paimpol ; mont-blanc pavlova-style…"
